kent,7,4,2024-05-15 09:36:10
kent,17,14,2024-05-15 09:51:01
kent,2,2,2024-05-15 09:57:50
kent,2,2,2024-05-15 10:02:09
iann,15,15,2024-05-15 10:03:04
iann,2,2,2024-05-15 10:04:20
iann,1,1,2024-05-15 10:05:00
iann,15,12,2024-05-15 10:05:15
kent,12,9,2024-05-15 15:21:06
kent,12,9,2024-05-15 15:22:13
kent,7,7,2024-05-15 15:22:26
loeqt,29,26,2024-05-15 15:25:35
qwer,0,0,2024-05-15 15:28:46
qwer,6,3,2024-05-15 15:28:48
loeqtt,22,19,2024-05-15 15:29:18
loeloe,1,1,2024-05-15 15:32:17
loeloe,1,1,2024-05-15 15:32:20
loeloe,11,8,2024-05-15 15:32:36
loeqtt,29,26,2024-05-15 15:34:12
loeloe,7,7,2024-05-15 15:36:37
